"Date","ConcLow","ConcHigh","Uncen","ConcAve","Julian","Month","Day","DecYear","MonthSeq","waterYear","SinDY","CosDY"
2005-01-18,0.14,0.14,1,0.14,56630,1,18,2005.04737442922,1861,2005,0.293286127958967,0.956024710531499
2005-02-15,0.08,0.08,1,0.08,56658,2,46,2005.12408675799,1862,2005,0.70303773524482,0.711152545395033
2005-03-15,0.17,0.17,1,0.17,56686,3,75,2005.20079908676,1863,2005,0.952596038100974,0.304238045277588
2005-04-19,0.12,0.12,1,0.12,56721,4,110,2005.29668949772,1864,2005,0.957278025574317,-0.289169123096739
2005-05-17,0.17,0.17,1,0.17,56749,5,138,2005.37340182648,1865,2005,0.714171509753196,-0.699970752715312
2005-06-14,0.39,0.39,1,0.39,56777,6,166,2005.45011415525,1866,2005,0.30833476148349,-0.951277916731446
2005-07-19,0.63,0.63,1,0.63,56812,7,201,2005.54600456621,1867,2005,-0.28504676267152,-0.958513611322493
2005-08-16,0.26,0.26,1,0.26,56840,8,229,2005.62271689498,1868,2005,-0.696890806359442,-0.717177247276911
2005-09-20,0.17,0.17,1,0.17,56875,9,264,2005.71860730594,1869,2005,-0.980609973464305,-0.195969589330426
2005-10-18,0.14,0.14,1,0.14,56903,10,292,2005.7953196347,1870,2006,-0.959731444892859,0.28091912302986
2005-11-15,0.17,0.17,1,0.17,56931,11,320,2005.87203196347,1871,2006,-0.720169702299612,0.693797953218146
2005-12-20,0.13,0.13,1,0.13,56966,12,355,2005.96792237443,1872,2006,-0.200187867174446,0.979757530124748
2006-01-17,0.11,0.11,1,0.11,56994,1,17,2006.0446347032,1873,2006,0.276786280617825,0.960931503730495
2006-02-14,0.155,0.155,1,0.155,57022,2,45,2006.12134703196,1874,2006,0.690692250572698,0.723148819399452
2006-03-14,0.118,0.118,1,0.118,57050,3,74,2006.19805936073,1875,2006,0.947217942889538,0.320590344003235
2006-04-18,0.091,0.091,1,0.091,57085,4,109,2006.29394977169,1876,2006,0.962113765609679,-0.272648311977836
2006-05-16,0.079,0.079,1,0.079,57113,5,137,2006.37066210046,1877,2006,0.726114543401612,-0.687573755942348
2006-06-14,0.111,0.111,1,0.111,57142,6,166,2006.45011415525,1878,2006,0.308334761482862,-0.951277916731649
2006-07-18,0.248,0.248,1,0.248,57176,7,200,2006.54326484018,1879,2006,-0.268505293747255,-0.963278208634297
2006-08-15,0.263,0.263,1,0.263,57204,8,228,2006.61997716895,1880,2006,-0.684442527083264,-0.729066819379318
2006-09-19,0.415,0.415,1,0.415,57239,9,263,2006.71586757991,1881,2006,-0.977091391178162,-0.212820143044602
2006-10-17,0.156,0.156,1,0.156,57267,10,291,2006.79257990868,1882,2007,-0.96442481123873,0.264357302655212
2006-11-14,0.115,0.115,1,0.115,57295,11,319,2006.86929223744,1883,2007,-0.732005592656101,0.681298621986123
2006-12-19,0.114,0.114,1,0.114,57330,12,354,2006.9651826484,1884,2007,-0.217023122494434,0.97616646341839
2007-01-16,0.129,0.129,1,0.129,57358,1,16,2007.04189497717,1885,2007,0.260204415528196,0.965553552186325
2007-02-20,0.097,0.097,1,0.097,57393,2,51,2007.13778538813,1886,2007,0.761569297970409,0.648083485662811
2007-03-20,0.076,0.076,1,0.076,57421,3,80,2007.2144977169,1887,2007,0.975223456540673,0.221222082561532
2007-04-17,0.09,0.09,1,0.09,57449,4,108,2007.29121004566,1888,2007,0.966664410572691,-0.256046709278117
2007-05-15,0.088,0.088,1,0.088,57477,5,136,2007.36792237443,1889,2007,0.737842413641248,-0.674973016225136
2007-06-19,0.119,0.119,1,0.119,57512,6,171,2007.46381278539,1890,2007,0.225416945478941,-0.974262388009998
2007-07-24,0.168,0.168,1,0.168,57547,7,206,2007.55970319635,1891,2007,-0.366389999105822,-0.930461374026475
2007-08-14,0.341,0.341,1,0.341,57568,8,227,2007.61723744292,1892,2007,-0.671791432713519,-0.740740353249853
2007-09-18,0.383,0.383,1,0.383,57603,9,262,2007.71312785388,1893,2007,-0.97328327562586,-0.229607633555586
2007-10-16,0.313,0.313,1,0.313,57631,10,290,2007.78984018265,1894,2008,-0.968832397698579,0.247717147508248
2007-11-27,0.459,0.459,1,0.459,57673,11,332,2007.9049086758,1895,2008,-0.562557869813468,0.826757910824525
2007-12-11,0.086,0.086,1,0.086,57687,12,346,2007.94326484018,1896,2008,-0.348975379169964,0.937131892922858
2008-01-22,0.095,0.095,1,0.095,57729,1,22,2008.05817395264,1897,2008,0.357432865369652,0.933938834589097
2008-02-18,0.129,0.129,1,0.129,57756,2,49,2008.13194444444,1898,2008,0.737277336809727,0.675590207616094
2008-03-18,0.212,0.212,1,0.212,57785,3,78,2008.21117941712,1899,2008,0.970399464786576,0.241505442468543
2008-04-15,0.445,0.445,1,0.445,57813,4,106,2008.28768214936,1900,2008,0.972102110506832,-0.234558066900637
2008-05-20,0.091,0.091,1,0.091,57848,5,141,2008.38331056466,1901,2008,0.669236913642579,-0.743049092199267
